plugin_slug,filename
3d-flipbook-dflip-lite,False
ac-addon-acf-2.6.4,ac-addon-acf-2.6.4.zip
add-to-any,False
admin-columns-pro,admin-columns-pro-5.4.3.zip
advanced-bulk-edit,advanced-bulk-edit-v1.3.zip
advanced-custom-fields-pro-6_2_6_1,advanced-custom-fields-pro-6_2_6_1.zip
advanced-custom-fields-pro_6_0_6,advanced-custom-fields-pro-6_0_6.zip
classic-editor,False
contact-form-7,False
contact-form-7-honeypot,False
cookie-notice,False
dearpdf-lite,dearpdf-lite.zip
debug-log-manager,False
easy-woocommerce-auto-sku-generator,False
error-log-monitor,False
flow-flow-social-streams,False
image-alt-text,False
post-duplicator,False
query-monitor,False
resize-image-after-upload,False
safe-svg,False
seo-by-rank-math,seo-by-rank-math.zip
stops-core-theme-and-plugin-updates,False
tinymce-advanced,False
wc-fields-factory,False
webp-express,False
woo-ajax-mini-cart,False
woocommerce,False
woocommerce-advanced-bulk-edit,woocommerce-advanced-bulk-edit-5_2.zip
fluent-smtp,False
wp-pagenavi,False
wp-smushit,False
wpglobus-plus,wpglobus-plus.zip
wpglobus.2.10.10,wpglobus.2.10.10.zip
wpglobus.2.6.8,wpglobus.2.6.8.zip
wps-hide-login,False
wps-limit-login,False
